Label,Event Type,Type,Subtype,Details,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,New Session
Facebook Page Liked,Facebook Page Liked,Social Network,Facebook,,6,3.507462687,0,4,0
Facebook Post,Facebook Post,Social Network,Facebook,,5,3.164179104,0,1,0
Facebook Post Commented,Facebook Post Commented,Social Network,Facebook,,5,3.164179104,0,1,0
Facebook Post Liked,Facebook Post Liked,Social Network,Facebook,,5,3.164179104,0,1,0
Facebook Post Shared,Facebook Post Shared,Social Network,Facebook,,5,3.149253731,0,2,0
Instagram Post,Instagram Post,Social Network,Instagram,,5,3.164179104,0,1,0
Instagram Post Liked,Instagram Post Liked,Social Network,Instagram,,5,3.164179104,0,1,0
Landing Page Viewed,Landing Page Viewed,Marketing Activities,Engagement,,5,2.71641791,103.8945887,1,0
Marketing Content Downloaded,Marketing Content Downloaded,Marketing Activities,Engagement,,6,3.820895522,0,1,0
Marketing Content Viewed,Marketing Content Viewed,Marketing Activities,Engagement,,5,2.835820896,131,1,0
Marketing Event Registration,Marketing Event Registration,Marketing Activities,Engagement,,5,2.895522388,0,1,0
Marketing Video Played,Marketing Video Played,Marketing Activities,Engagement,,6,3.820895522,0,1,0
NPS Survey Captured,NPS Survey Captured,Marketing Activities,Survey,,6,3.791044776,0,3,0
Page Viewed - Error Page,Page Viewed,E-Commerce,,Error Page,5,3.014925373,0,2,0
Product Compared,Product Compared,Marketing Activities,Product Interactions,,5,2.76119403,0,2,0
Product Rated,Product Rated,Marketing Activities,Product Interactions,,5,2.76119403,0,2,0
Product Recommended,Product Recommended,Marketing Activities,Product Interactions,,5,2.76119403,0,1,0
Product Reviewed,Product Reviewed,Marketing Activities,Product Interactions,,5,2.76119403,0,2,0
Product Shared,Product Shared,Marketing Activities,Product Interactions,,5,2.746268657,12.66666667,2,0
Product Viewed,Product Viewed,Marketing Activities,Product Interactions,,4,2.179104478,942.0437229,1,0
Promotion Applied,Promotion Applied,Marketing Activities,Promotion,,5,3.164179104,130,2,0
Promotion Viewed,Promotion Viewed,Marketing Activities,Promotion,,6,4.119402985,66,2,0
Resolved Service Request,Resolved Service Request,Service Center,,,7,3.611940299,81.4524531,7,0
Reward Redeemed,Reward Redeemed,Marketing Activities,Loyalty,,6,3.656716418,0,3,0
Set Customer Profile,Set Customer Profile,Customer Interactions,,,6,3.28358209,77.40321068,7,0
Subscription,Subscription,Customer Interactions,,,0,0,0,5,0
Twitter Favorited,Twitter Favorited,Social Network,Twitter,,5,3.164179104,0,1,0
Twitter Followed,Twitter Followed,Social Network,Twitter,,6,3.507462687,0,4,0
Twitter Retweeted,Twitter Retweeted,Social Network,Twitter,,6,4.119402985,0,1,0
Twitter Tweeted,Twitter Tweeted,Social Network,Twitter,,5,3.134328358,66,1,0
Un-Subscription,Un-Subscription,Customer Interactions,,,0,0,0,6,0
Updated Service Request,Updated Service Request,Service Center,,,7,3.776119403,38.67301587,7,0
Web Login,Web Login,E-Commerce,,,6,3.507462687,0,4,0
Willingness to Recommend Captured,Willingness to Recommend Captured,Marketing Activities,Survey,,6,3.791044776,0,3,0
